keyword,volume_us,volume_worldwide,keyword_difficulty,cpc_us,cpc_worldwide,competition_labs,competition_level_ads_us,competition_index_ads_us,competition_level_ads_ww,competition_index_ads_ww,main_intent,in_labs_db
sanity hosting,10,70,,0.6,0.98,0.53,LOW,31,LOW,24,navigational,True
vllm hosting,10,70,,8.62,5.69,0.31,MEDIUM,54,MEDIUM,44,navigational,True
managed kubernetes hosting,30,50,30,13.45,6.25,,LOW,24,MEDIUM,39,commercial,True
jamstack hosting,20,50,34,,,0.01,LOW,1,LOW,6,navigational,True
sveltekit hosting,10,50,0,26.71,26.71,0.14,MEDIUM,50,LOW,27,commercial,True
svelte hosting,10,50,40,25.89,25.89,0.29,MEDIUM,49,LOW,32,navigational,True
vue hosting,10,50,,15.55,15.55,0.39,LOW,14,LOW,17,commercial,True
symfony hosting,10,50,39,,9.17,,LOW,5,MEDIUM,51,commercial,True
directus hosting,10,50,,7.45,3.44,0.5,MEDIUM,50,MEDIUM,36,navigational,True
minio hosting,10,50,,,,,,,MEDIUM,35,,False
llama hosting,10,50,,1.88,2.33,,LOW,27,MEDIUM,36,,False
metabase hosting,10,50,,,2.39,0.17,LOW,20,LOW,19,commercial,True
appwrite hosting,10,50,,24.42,13.66,0.86,HIGH,86,LOW,21,commercial,True
vaultwarden hosting,10,50,,,13.1,0.54,HIGH,67,LOW,32,navigational,True
codeigniter hosting,30,40,0,,3.45,0.86,LOW,0,MEDIUM,57,commercial,True
stable diffusion hosting,10,40,0,,3.48,0.69,MEDIUM,45,MEDIUM,41,commercial,True
webhook hosting,10,40,33,,2.51,0.57,MEDIUM,57,MEDIUM,47,commercial,True
managed postgres hosting,10,40,,,3.59,0.39,LOW,6,MEDIUM,46,commercial,True
jekyll hosting,10,30,32,,,0.4,MEDIUM,54,MEDIUM,41,navigational,True
medusa hosting,10,30,,,2.65,0.11,LOW,31,LOW,31,navigational,True
typesense hosting,10,30,,,1.79,,LOW,0,LOW,8,,False
airflow hosting,10,30,36,9.94,8.94,0.49,MEDIUM,50,LOW,33,commercial,True
jupyter hosting,10,30,43,,,0.43,MEDIUM,43,LOW,22,navigational,True
nodejs cloud hosting,10,30,,,1.61,0.02,LOW,4,LOW,27,commercial,True
remix hosting,10,20,5,,3.2,0.19,LOW,19,MEDIUM,34,navigational,True
wagtail hosting,10,20,43,,,0.36,LOW,23,LOW,28,navigational,True
medusajs hosting,10,20,,,4.04,0.57,LOW,0,MEDIUM,35,navigational,True
langchain hosting,10,20,,,,0,MEDIUM,46,LOW,30,commercial,True
dify hosting,10,20,,,1.57,,,,MEDIUM,58,,False
open webui hosting,10,20,,,8.69,,LOW,0,HIGH,70,,False
saleor hosting,10,10,,5.57,5.57,0.14,MEDIUM,43,MEDIUM,33,navigational,True
meilisearch hosting,10,10,,,,0.43,LOW,11,LOW,14,commercial,True
plausible hosting,10,10,,,,0.14,,,LOW,14,informational,True
langflow hosting,10,10,,,1.28,,HIGH,86,MEDIUM,61,,False
cron job hosting,10,10,,,0.15,,LOW,4,LOW,25,informational,True
nocodb hosting,10,10,,,2.33,0.19,LOW,19,MEDIUM,37,commercial,True
baserow hosting,10,10,,2.82,2.08,,HIGH,86,MEDIUM,45,,False
budibase hosting,10,10,,,5.24,,,,HIGH,71,,False
vendure hosting,,,,,,,,,,,,False
penpot hosting,,,,,,,,,,,,False
uptime kuma hosting,,,,,,,,,,,,False
